query_id,question_kr,domain,type,baseline,R1_accuracy,R2_coverage,R3_evidence_level,R4_citation_verify,R5_clinical_usefulness,total,best_worst,comment
DG-001,요추 척추관 협착증에서 UBE vs 기존 TLIF의 ODI 개선 및 합병증 비교 근거는?,degenerative,comparison,B1,4,1,2,5,2,14,,"정직하게 근거 부족을 인정했지만 검색 적합도가 낮고 UBE vs TLIF 직접 근거를 거의 제시하지 못함"
DG-001,요추 척추관 협착증에서 UBE vs 기존 TLIF의 ODI 개선 및 합병증 비교 근거는?,degenerative,comparison,B2,3,3,4,5,3,18,,"관련성 있는 메타분석과 비교연구를 일부 포함했으나 open TLIF 직접 비교가 부족하고 간접 추론 비중이 큼"
DG-001,요추 척추관 협착증에서 UBE vs 기존 TLIF의 ODI 개선 및 합병증 비교 근거는?,degenerative,comparison,B3,2,4,2,1,2,11,worst,"내용은 풍부하지만 Youn Kim Soliman 등 인용의 검증이 어렵고 수치·합병증 비교를 과도하게 단정함"
DG-001,요추 척추관 협착증에서 UBE vs 기존 TLIF의 ODI 개선 및 합병증 비교 근거는?,degenerative,comparison,B4,4,3,4,5,3,19,best,"직접 근거 부재를 명확히 밝히고 간접 고수준 근거를 사용함; 다만 질문 적합한 TLIF 직접 비교는 여전히 부족"
DG-002,2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행 비교 근거는?,degenerative,comparison,B1,2,1,1,5,1,10,worst,"대부분 비관련 cervical 수술 논문을 가져왔고 실제로 존재하는 CDR vs ACDF ASD 근거를 놓침"
DG-002,2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행 비교 근거는?,degenerative,comparison,B2,2,2,4,5,1,14,,"고수준 논문은 있으나 비연속 병변·RTW 등 주변 주제 중심이라 2-level ASD 질문에 충분히 답하지 못함"
DG-002,2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행 비교 근거는?,degenerative,comparison,B3,3,4,3,2,3,15,best,"장기 ASD 방향성은 비교적 타당하나 Goffin Pickett Nabhan 등 구체 인용의 정확한 매칭과 2-level 특이성은 불충분"
DG-002,2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행 비교 근거는?,degenerative,comparison,B4,2,1,3,5,1,12,,"인용 형식은 좋지만 실제 답변은 근거 부족 선언에 머물고 한 편의 lumbar laminectomy 논문까지 섞여 있음"
DG-003,MIS-TLIF 후 cage subsidence의 위험인자와 임상 결과에 대한 영향은?,degenerative,complication,B1,2,1,1,5,1,10,worst,"검색 결과가 거의 전부 비관련 주제이며 질문 핵심인 subsidence 위험인자와 임상영향을 전혀 구성하지 못함"
DG-003,MIS-TLIF 후 cage subsidence의 위험인자와 임상 결과에 대한 영향은?,degenerative,complication,B2,3,3,2,5,3,16,,"OLIF biomechanical 연구와 일부 TLIF 자료를 섞어 위험인자를 정리했으나 MIS-TLIF 직접 근거와 임상 outcome 연계가 약함"
