evaluator,eval_date,query_id,question_kr,domain,type,baseline,R1_accuracy,R2_coverage,R3_evidence_level,R4_citation_verify,R5_clinical_usefulness,total,best_worst,comment_R1,comment_R2,comment_R3,comment_R4,comment_R5
Claude_Opus,2026-03-17,DG-001,요추 척추관 협착증에서 UBE vs 기존 TLIF의 ODI 개선 및 합병증 비교 근거는?,degenerative,comparison,B1,4,1,2,5,1,13,worst_candidate,"오류 없으나 UBE vs open TLIF 직접 비교 논문 미검색; drain tube·PTED 경제성 등 비관련 논문 위주","관련 비교 연구 1편(pubmed_40133882)만 사용; ODI 수치 미제시·합병증 비교 전무 — 질문과 관련 없는 내용 위주","검색된 논문 2b 위주; 1b 1편(drain tube)은 질문과 무관 — 유효 EL 사실상 없음","pubmed ID 전부 확인 가능","정직하게 근거 부족 선언하나 ODI·합병증 모두 수치 없이 임상 결정 불가"
Claude_Opus,2026-03-17,DG-001,요추 척추관 협착증에서 UBE vs 기존 TLIF의 ODI 개선 및 합병증 비교 근거는?,degenerative,comparison,B2,4,3,4,5,2,18,,"오류 없음; UBE-LIF vs MIS-TLIF 간접 비교·고령 위험 등 유용 정보 포함; open TLIF 직접 비교는 없음","1a×3·1b×3·2b×4로 양호; ODI 구체 수치 미제시·합병증률 부재 — 핵심 outcome 1개 이상 누락","1a MA/SR 다수(pubmed_41098550·36991184 등); 1b SR(pubmed_40797374) — Level 1-2 혼합","pubmed ID 전부 확인 가능","방향성(comparable·고령 위험)은 참고 가능하나 구체 수치 없어 환자 설명 불가 — 방향성만 참고 수준"
Claude_Opus,2026-03-17,DG-001,요추 척추관 협착증에서 UBE vs 기존 TLIF의 ODI 개선 및 합병증 비교 근거는?,degenerative,comparison,B3,2,5,1,1,2,11,worst,"Youn 2017·Soliman 2021·Kim 2019·Adogwa 2011 등 0건 검색 상태에서 구체 수치(ODI 40점 개선 등) 제시 — hallucination 위험 높음; 수치 정확성 검증 불가","ODI·감염·신경학적합병증·VAS·LOS·복귀기간 등 모든 도메인 완전 포괄 — 포괄성 자체는 최고","0건 검색; Level II-III 자체 선언만 있고 실제 산정 불가","저자+연도만 인용; 0건 검색 상태로 대부분 매칭 불확실 — 인용 확인 거의 불가","수치가 구체적이어서 보기엔 유용하나 hallucination 위험으로 실사용 위험 — 방향성만 참고 수준"
Claude_Opus,2026-03-17,DG-001,요추 척추관 협착증에서 UBE vs 기존 TLIF의 ODI 개선 및 합병증 비교 근거는?,degenerative,comparison,B4,4,3,5,5,2,19,best,"직접 근거 부재 정직하게 밝히면서 간접 고수준 근거(1a NMA·1b SR) 제시; 서술 내용 자체에 오류 없음","ODI 간접 근거와 blood loss 이점 서술; direct TLIF vs UBE 비교 없고 구체 수치 부족 — 핵심 일부 포함","10편 중 8편이 1a·1b — 시스템 전체에서 가장 높은 증거 수준 포트폴리오","pubmed ID 전부 확인 가능","간접 근거와 한계를 명확히 구조화; 구체 수치 없어 환자 설명 불충분 — 방향성만 참고 수준"
Claude_Opus,2026-03-17,DG-002,2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행 비교 근거는?,degenerative,comparison,B1,4,1,2,5,1,13,worst,"오류 없으나 CDR vs ACDF ASD 관련 근거 전무; Simplify CDR 기기 실패·후방 수술 등 비관련 논문 위주","CDR vs ACDF ASD 직접 비교 논문 0편 검색; 근거 구성 자체 불가 — 질문과 관련 없는 내용 위주","2b·3·4 위주; 질문과 무관한 낮은 수준의 논문 포함","pubmed ID 전부 확인 가능","근거 부족 선언만 가능; 임상 결정 전혀 불가"
Claude_Opus,2026-03-17,DG-002,2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행 비교 근거는?,degenerative,comparison,B2,4,2,3,5,1,15,best,"오류 없음; pubmed_40708283(NMA 1a)를 올바르게 해석 — 비연속 ACDF용이지 CDR 직접 비교 아님을 명확히 함","1a NMA 포함하나 CDR vs ACDF ASD 직접 비교 데이터 없음; CDR 운동보존 이론적 근거만 — 한쪽 치우침","1a 3편 포함하나 ASD 직접 비교 주제와 맞지 않아 유효 EL 제한적 — Level 2 위주 수준","pubmed ID 전부 확인 가능","근거 부족 정직 선언; 임상 결정 불가하지만 해석이 가장 정확"
Claude_Opus,2026-03-17,DG-002,2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행 비교 근거는?,degenerative,comparison,B3,3,5,1,2,3,14,,"Goffin 2011·Hilibrand 1999 등 일부 실존 가능; CDR이 symptomatic ASD 감소 방향은 실제 근거와 일치하나 구체 수치(5% vs 15%) 매칭 불확실","symptomatic ASD·radiographic ASD·2-level 특이분석·생역학·한계·권고까지 모든 도메인 포괄 — 포괄성 최고","0건 검색; Level IB-IIA 자체 선언만 있고 실제 산정 불가","저자+연도 인용; Hilibrand 1999(2.9%/yr)은 실존 확인. Goffin·Nabhan은 실존 가능하나 수치 매칭 불확실","Grade B 권고·방향성 제시로 임상 참고 가능; 검증 없이 사용 시 위험 — 추가 문헌 검토 필요"
Claude_Opus,2026-03-17,DG-002,2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행 비교 근거는?,degenerative,comparison,B4,4,1,3,5,1,14,,"3편만 검색; 답변 자체에 오류 없으나 pubmed_39575449(요추 후궁절제술)는 경추 CDR 질문과 완전 무관 — 검색 정밀도 실패","3편 중 1편 무관; CDR vs ACDF ASD 비교 근거 전무 — 질문과 관련 없는 내용 위주","검색된 논문은 전부 1a이지만 질문과 맞지 않아 실질 효용 제한적 — Level 2 위주 수준","pubmed ID 전부 확인 가능; 논문 자체는 실존하나 1편이 경추 질문에 요추 논문","근거 부족 선언에 그침; 임상 결정 불가"
Claude_Opus,2026-03-17,DG-003,MIS-TLIF 후 cage subsidence의 위험인자와 임상 결과에 대한 영향은?,degenerative,complication,B1,4,1,1,5,1,12,worst,"오류 없으나 cage subsidence 관련 논문 사실상 0편; 전자담배·VN·ASD·PJK 등 비관련 논문","subsidence 위험인자·임상영향 전무; 키워드 불일치로 검색 완전 실패","1a 2편 있으나 내용은 척추측만증·C5 palsy 관련 — 질문과 무관; 유효 EL 사실상 없음","pubmed ID 전부 확인 가능","subsidence 위험인자·임상영향을 전혀 구성하지 못함"
Claude_Opus,2026-03-17,DG-003,MIS-TLIF 후 cage subsidence의 위험인자와 임상 결과에 대한 영향은?,degenerative,complication,B2,4,5,3,5,4,21,best,"BMD·EBQ·sarcopenia·cage 형태/개수(banana cage 11.8% vs 19.9% p=0.002)·cage 위치 모두 정확 인용; BMI 비유의도 정확","환자요인(BMD·EBQ·sarcopenia·나이·BMI)·수술요인(cage 설계·개수·위치·높이)·임상영향(발생률·기계적 결과·임상 후유증) 전 도메인 포괄","OLIF biomechanical(EL 5) 다수 포함; 실제 임상 데이터는 2a-2b가 최고 — Level 2 위주(cohort)","pubmed ID 전부 확인 가능; 수치 직접 검증 가능","발생률(32.7%·11.8-19.9%)·위험인자·임상 후유증 구체 제시; 대부분 OLIF 데이터이나 MIS-TLIF에 참고 가능"
