query_id,question_kr,domain,type,baseline,R1_accuracy,R2_coverage,R3_evidence_level,R4_citation_verify,R5_clinical_usefulness,total,best_worst,comment
DG-001,요추 척추관 협착증에서 UBE vs 기존 TLIF의 ODI 개선 및 합병증 비교 근거는?,degenerative,comparison,B1,4,2,2,5,2,15,Worst,검색된 근거가 매우 제한적이며 비교 대상 누락
DG-001,요추 척추관 협착증에서 UBE vs 기존 TLIF의 ODI 개선 및 합병증 비교 근거는?,degenerative,comparison,B2,4,3,4,5,3,19,,상대적으로 양호한 근거이나 직접 비교 수치 부재
DG-001,요추 척추관 협착증에서 UBE vs 기존 TLIF의 ODI 개선 및 합병증 비교 근거는?,degenerative,comparison,B3,3,5,3,2,4,17,,구조적 완성도는 높으나 인용 논문의 검증 불가
DG-001,요추 척추관 협착증에서 UBE vs 기존 TLIF의 ODI 개선 및 합병증 비교 근거는?,degenerative,comparison,B4,5,4,5,5,4,23,Best,고품질(1a/1b) 근거 합성 우수하며 한계점 명확히 제시
DG-002,2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행 비교 근거는?,degenerative,comparison,B1,5,1,2,5,1,14,Worst,관련 논문 검색 실패로 임상적 유용성 낮음
DG-002,2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행 비교 근거는?,degenerative,comparison,B2,4,3,4,5,2,18,,비연속성 병변 등 간접적 근거에 의존
DG-002,2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행 비교 근거는?,degenerative,comparison,B3,3,5,4,2,4,18,,포괄적이고 상세한 분석이나 인용 검증이 불가능함
DG-002,2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행 비교 근거는?,degenerative,comparison,B4,5,3,5,5,2,20,Best,최고 수준의 간접 근거를 제시하고 한계를 정직하게 보고
DG-003,MIS-TLIF 후 cage subsidence의 위험인자와 임상 결과에 대한 영향은?,degenerative,complication,B1,5,1,1,5,1,13,Worst,관련 논문 검색 완전 실패
DG-003,MIS-TLIF 후 cage subsidence의 위험인자와 임상 결과에 대한 영향은?,degenerative,complication,B2,4,4,3,5,4,20,,환자 및 수술적 위험인자에 대해 양호하게 요약
DG-003,MIS-TLIF 후 cage subsidence의 위험인자와 임상 결과에 대한 영향은?,degenerative,complication,B3,3,5,3,2,4,17,,가장 상세한 분석이나 인용의 확인 불가
DG-003,MIS-TLIF 후 cage subsidence의 위험인자와 임상 결과에 대한 영향은?,degenerative,complication,B4,5,5,4,5,4,23,Best,발생률과 임상적 영향을 논문 기반으로 훌륭히 종합
DG-004,요추 추간판 탈출증 수술: 미세현미경 vs 내시경 추간판절제술의 결과 비교 근거는?,degenerative,comparison,B1,4,2,2,5,2,15,Worst,비교 논문 부족으로 정보 가치가 낮음
DG-004,요추 추간판 탈출증 수술: 미세현미경 vs 내시경 추간판절제술의 결과 비교 근거는?,degenerative,comparison,B2,4,4,5,5,4,22,,높은 근거 수준 바탕으로 임상결과 분석 훌륭함
DG-004,요추 추간판 탈출증 수술: 미세현미경 vs 내시경 추간판절제술의 결과 비교 근거는?,degenerative,comparison,B3,3,5,3,2,4,17,,구조는 훌륭하나 인용 검증 안됨
DG-004,요추 추간판 탈출증 수술: 미세현미경 vs 내시경 추간판절제술의 결과 비교 근거는?,degenerative,comparison,B4,5,5,5,5,5,25,Best,가장 뛰어난 1a 근거 합성 및 결론 제시 명확함
DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 합병증, 암 위험 근거는?",degenerative,single_evidence,B1,4,2,3,5,2,16,Worst,암 위험 누락 및 논의 부족
DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 합병증, 암 위험 근거는?",degenerative,single_evidence,B2,4,4,4,5,4,21,,암 위험 제외 유합률 및 합병증 상세 분석
DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 합병증, 암 위험 근거는?",degenerative,single_evidence,B3,3,5,3,2,4,17,,암 위험 포괄적 분석했으나 출처 검증 불가
DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 합병증, 암 위험 근거는?",degenerative,single_evidence,B4,5,4,5,5,4,23,Best,1a/1b 논문 기반 훌륭한 종합 및 암 관련 한계 명시
DG-006,다분절 경추 척수증에서 후궁성형술 vs 후궁절제+유합술의 역할과 어느 접근법이 우수한가?,degenerative,comparison,B1,,,,,,,,
DG-006,다분절 경추 척수증에서 후궁성형술 vs 후궁절제+유합술의 역할과 어느 접근법이 우수한가?,degenerative,comparison,B2,,,,,,,,
DG-006,다분절 경추 척수증에서 후궁성형술 vs 후궁절제+유합술의 역할과 어느 접근법이 우수한가?,degenerative,comparison,B3,,,,,,,,
DG-006,다분절 경추 척수증에서 후궁성형술 vs 후궁절제+유합술의 역할과 어느 접근법이 우수한가?,degenerative,comparison,B4,,,,,,,,
DG-007,퇴행성 척추전방전위증에서 LLIF/XLIF vs TLIF 비교 최신 RCT 근거는?,degenerative,latest_evidence,B1,,,,,,,,
DG-007,퇴행성 척추전방전위증에서 LLIF/XLIF vs TLIF 비교 최신 RCT 근거는?,degenerative,latest_evidence,B2,,,,,,,,
DG-007,퇴행성 척추전방전위증에서 LLIF/XLIF vs TLIF 비교 최신 RCT 근거는?,degenerative,latest_evidence,B3,,,,,,,,
DG-007,퇴행성 척추전방전위증에서 LLIF/XLIF vs TLIF 비교 최신 RCT 근거는?,degenerative,latest_evidence,B4,,,,,,,,
DG-008,요추 척추관 협착증에서 경막외 스테로이드 주사의 효과와 수술 권유 시점에 대한 근거는?,degenerative,single_evidence,B1,,,,,,,,
DG-008,요추 척추관 협착증에서 경막외 스테로이드 주사의 효과와 수술 권유 시점에 대한 근거는?,degenerative,single_evidence,B2,,,,,,,,
DG-008,요추 척추관 협착증에서 경막외 스테로이드 주사의 효과와 수술 권유 시점에 대한 근거는?,degenerative,single_evidence,B3,,,,,,,,
DG-008,요추 척추관 협착증에서 경막외 스테로이드 주사의 효과와 수술 권유 시점에 대한 근거는?,degenerative,single_evidence,B4,,,,,,,,
DG-009,로봇 보조 척추경 나사못 삽입 vs 프리핸드 기법의 임상 결과 및 합병증 비교는?,degenerative,comparison,B1,,,,,,,,
DG-009,로봇 보조 척추경 나사못 삽입 vs 프리핸드 기법의 임상 결과 및 합병증 비교는?,degenerative,comparison,B2,,,,,,,,
DG-009,로봇 보조 척추경 나사못 삽입 vs 프리핸드 기법의 임상 결과 및 합병증 비교는?,degenerative,comparison,B3,,,,,,,,
DG-009,로봇 보조 척추경 나사못 삽입 vs 프리핸드 기법의 임상 결과 및 합병증 비교는?,degenerative,comparison,B4,,,,,,,,
